Nome,Indirizzo,Numero,Orari,ivg_farm,ivg_chirurgica,itg,Annotazioni
Policlinico Universitario Palermo,"Via del Vespro, 129, 90127 Palermo PA",091 655111,"Tutti i martedì dopo le 11, in ordine di arrivo",NO,SI,NO,nan
Ospedale Policlinico Di Siracusa (Anche Policlinico Umberto I),"VIA TESTAFERRATA, 1 - 96100 - SIRACUSA (SR)",0931 724058         0931 724858 (prenotazioni),Ogni giovedì su appuntamento,NO,SI,NO,Per IVG è presente un ambulatorio dedicato. Contattare lo 0931 724858 per appuntamento.
Casa di Cura Villa Elena-Cagliari,"Via Dante Alighieri, 133, 09128 Cagliari CA",070 494891 (chiedere del reparto di ginecologia),il martedì e il giovedì,Non specificato,SI,NO,Privato convenzionato con SSN. IVG chirurgica in Day Hospital
Ospedale di Asiago,"Via Martiri di Granezza, 42, 36012 Asiago VI",0424 885180  ore 8.30 – 12.30 martedì e giovedì,Non specificati,NO,SI,Non specificato,Al servizio si accede contattando telefonicamente il proprio Consultorio Familiare di riferimento in base alla residenza https://www.aulss7.veneto.it/come-fare-per/-/health-services/entry/38326
Nuovo Ospedale di San Giovanni di Dio di Firenze (Torregalli),"Via Torregalli, 3, 50143 Firenze FI",055 69321,Non specificati,NO,NO,SI,Per IVG fare riferimento all'Ospedale Palagi di Firenze
"Ospedali Riuniti Ancona (Anche Presidio Ospedaliero ""G. Salesi"")","Via Conca, 71, 60126 Ancona AN",071 5961,Non specificati,NO,NO,SI,nan
Presidio Ospedaliero di Pescara / Ospedale Spirito Santo di Pescara (PE),"Via Fonte Romana, 8. Pescara, PE",085 4251 Reparto ginecologia 085 425 2427 / 2551 / 2547 085 4252427 (prenotazione ITG)  CUP 800 827 827,Non specificati,NO,NO,SI,Per accedere al percorso IVG rivolgersi all'Ospedale di Penne (tel 085 8276259). Il servizio è attivo da lunedì a sabato dalle 8:30 alle 11:30.  Per ITG (aborto terapeutico) chiamare ginecologia al numero 085 4252427.
Presidio Ospedaliero Monopoli - Conversano (Ba),"Via E. De Amicis, 36 - 70014 CONVERSANO BA",080 4149111 (centralino) 080 4149221 (reparto ginecologia) 080 4149217 (ambulatorio)                    0804 328236 (prenotazioni ITG),Non specificati,NO,NO,SI,Per ITG telefonare al numero 0804 328236 dal lunedì al venerdì (solo di mattina) per prendere appuntamento. Referente Dott. Giulia Laselva.
Azienda Ospedaliera S. Elia - Caltanissetta,"Via Luigi Russo, 6, 93100 Caltanissetta CL",0934 559111 0934 559623 (prenotazione),Non specificati,Non specificato,Non specificato,SI,Si effettua il servizio IVG. Modalità di interruzione non specificata. Per percorso IVG telefonare al 0934 559623 dalle 8 alle 13.
Presidio Ospedaliero Michele Chiello Di Piazza Armerina,"Contrada Bellia, 94015 Piazza Armerina EN",0935 981111 0935 981340 (prenotazioni),Non specificati,Non specificato,Non specificato,SI,Si accede al percorso IVG tramite consultorio per certificato e poi prenotando al numero 0935 981340. Modalità di interruzione non specificata
Policlinico Universita’ Di Messina,"Via Consolare Valeria, 1",090 221 2672,Non specificati,NO,Non specificato,SI,Per informazioni scrivere a ostetricia.ginecologia@polime.it
Ospedale di Ivrea e Cuorgnè (raggruppati),"Piazza Credenza, 2, 10015 Ivrea TO",0125 4141 0125 414530 (consultorio),Non specificati,Non specificato,Non specificato,Non specificato,Si accede al percorso IVG tramite consultorio in via Nathalia Ginzburg 7 - tel 0125 414530 per appuntamento e primo certificato. Modalità di interruzione non specificata.
Ospedale di Collegno,Via Martiri XXX Aprile n. 30,011 40171 011 4017271/058 011 4017800 (consultorio),Non specificati,Non specificato,Non specificato,Non specificato,Si effettua il servizio IVG. Modalità di interruzione non specificata. Si accede al servizio tramite consultorio in via Torino 1 - tel 011 4017800 per appuntamento e primo certificato.
Presidio Ospedaliero Di Padova (Anche Ospedale Sant'Antonio),"71, Via Jacopo Facciolati - 35127 Padova (PD)",049 8216511 049 8218527 (clinica ginecologica),Non specificati,Non specificato,Non specificato,Non specificato,Chiamare la clinica ginecologica dal lunedì al venerdì dalle 11.30 alle 13.30
Ospedale Civile Piove Di Sacco (Pd),"Via S. Rocco, 8, 35028 Piove di Sacco PD",049 9718111,Non specificati,Non specificato,Non specificato,Non specificato,"Si accede al percorso IVG presentandosi di persona per prenotare, tutte le mattine dalle 8.30 alle 13.30 portando documento, tessera sanitaria, ecografia e certificato d'interruzione. Modalità di interruzione non specificata"
Ospedale San Dona' Di Piave (Ve),"Via Nazario Sauro, 25, 30027 San Donà di Piave VE",0421 227111,Non specificati,Non specificato,Non specificato,Non specificato,"Si accede al percorso IVG tramite consultorio oppure munite di certificato per interruzione, ecografia, tessera e documento. Per prendere appuntamento andare di persona dal lunedì al venerdì  Modalità di interruzione non specificata"
Ospedale Di Noventa Vicentina,"Via Capo di Sopra, 1, 36025 Noventa Vicentina VI",0444 755611,Non specificati,Non specificato,Non specificato,Non specificato,"Si accede al percorso IVG tramite consultorio oppure prenotando di persona dal lunedì al venerdì dalle 8.30 alle 13.00 munite di certificato d'interruzione, ecografia, tessera sanitaria e documento.  Modalità di interruzione non specificata"
Ospedale Civile di Palmanova (UD),"Via Natisone, 11, 33057 Jalmicco UD",0432 921111 (centralino),Non specificati,NO,NO,Non specificato,Presso questa struttura è possibile solo richiedere il certificato per interruzione e fare la prima visita. L'interruzione si fa successivamente all'ospedale Latisana. Per prendere appuntamento per visita e certificato bisogna contattare il centralino e chiedere del reparto di ginecologia.
Istituto Giannina Gaslini,"Via V Maggio, 3, 16147 Genova GE",010 56361                 010 563623 (Day Hospital),Non specificati,Non specificato,Non specificato,Non specificato,Si effettua il servizio IVG. Modalità di interruzione non specificata Day Hospital: Padiglione 10 – III piano
Ospedale Di Budrio - Bologna,"Via Benni, 44, 40054 Budrio BO",051 809111,Non specificati,Non specificato,Non specificato,Non specificato,Si accede al servizio IVG solo tramite consultorio. Modalità di interruzione non specificata
Distretto Pianura Ovest San Giovanni in Persiceto,"Via Castelfranco, 24, 40017 San Giovanni in Persiceto BO",051 6813475 051 6813651 (reparto ginecologia),Non specificati,NO,NO,NO,"La struttura rilascia solo il certificato per accedere a IVG. Per richiederlo servono: documento identità, tessera sanitaria, test di gravidanza di laboratorio, le beta oppure urine. Una volta in possesso di questi documenti chiamare il reparto di ginecologia per prendere appuntamento per il rilascio del certificato. Il percorso IVG prosegue poi presso l'Ospedale Maggiore."
Ospedale di Bibbiena (anche Ospedale del Casentino) (AR),"Viale Filippo Turati, 55, 52011 Casentino AR",0575 5681 0575 568332 (consultorio),Non specificati,NO,NO,Non specificato,"Il servizio IVG viene gestito dal consultorio, che indirizza all'ospedale di Arezzo.  Il consultorio è in Loc. Colombaia Via G. di Vittorio, 22 Tel. n. 0575 568332 Accesso con appuntamento, prenotabile personalmente o telefonicamente presso il servizio Accoglienza Consultoriale dal lunedì al venerdì dalle 8:30 alle 13:00"
Ospedale San Giuseppe di Empoli (FI),"Viale Giovanni Boccaccio, 16, 50053 Empoli FI",0571 7051,Non specificati,Non specificato,Non specificato,Non specificato,Si accede al servizio IVG tramite consultorio che avvia la procedura. Modalità di interruzione non specificata
Ospedale Sant'Andrea di Massa Marittima,"V.le Risorgimento, 43, 58024 Massa Marittima GR",0566 909111 0566 909270 (consultorio),Non specificati,NO,NO,NO,"Non c'è più reparto di ginecologia - ostetricia, c'è solo il consultorio dell'ospedale, dove si accede tramite appuntamento, in cui si fa la prima visita e il certificato di richiesta IVG chirurgica o farmacologica che però vengono eseguite all'ospedale Misericordia di Grosseto."
Presidio Ospedaliero Portoferraio - Isola d'Elba (LI),"Loc, Via S. Rocco, 57037 Portoferraio LI",0565 926111 0565 926816 (consultorio),Non specificati,Non specificato,Non specificato,Non specificato,"Si accede al percorso IVG tramite consultorio, solo su appuntamento. Telefonare al numero 0565 926816 Modalità di interruzione non specificata"
Presidio Ospedaliero Felice Lotti di Pontedera (PI),"Via Roma, 147, 56025 Pontedera PI",0587 273111 0587 273330  (prenotazioni),Non specificati,Non specificato,Non specificato,Non specificato,"Si effettua il servizio IVG. Modalità di interruzione non specificata In ospedale sono presenti sia l'ambulatorio di ginecologia e ostetricia, sia il consultorio. Per IVG telefonare per appuntamento dalle 12 alle 13:30 il lunedì, il martedì e il giovedì."
Ospedale Valdelsa - Poggibonsi ( anche Ospedale Campostaggia - Poggibonsi),Localita Campostaggia - 53036 Poggibonsi (SI),0577 9941 0577 994062 (ambulatorio) 0577 994031 (consultorio),Non specificati,Non specificato,Non specificato,Non specificato,"Si effettua il servizio IVG. Telefonare al consultorio nei giorni lunedì, martedì, giovedì e venerdì dalle 11:45 alle 13:40 Modalità di interruzione non specificata"
Ospedale Civile di Castel del Piano (GR),"Via IV Novembre, 2, 58033 Castel del Piano GR",0564 914111,Non specificati,NO,NO,NO,"C'è solo il consultorio in via 4 Novembre 36 - tel 0564 957063. Il consultorio è aperto 2 volte a settimana, per IVG si appoggia all'Ospedale di Grosseto."
Villa Igea,"Via A. Maggini, 200, 60127 Ancona AN",071 994 7777 071 8705062 (CRAS) 071 8705062 (consultorio),Non specificati,NO,NO,NO,"Ad oggi (marzo 2023), la regione ha revocato la convenzione a questa Clinica e sembra che l'IVG non sia più praticata. Lasciamo comunque i numeri di telefono e le informazioni che erano state fornite nel caso qualcuno volesse provare comunque a contattarli. Per accedere al percorso IVG telefonare al CRAS al numero 071 8705062 il martedì dalle 8.30 alle 11. Oppure telefonare al consultorio al numero 071 8705062"
Ospedale di Vasto San Pio da Pietrelcina,"Via S. Camillo de Lellis, 66054 Vasto CH","0873308363 (ambulatorio, chiamare dal lunedì al venerdì)",Giovedì 8-11:30,NO,NO,Non specificato,"Ad aprile 2023, l'ospedale non pratica IVG ma sta integrando un/a nuovo/a ginecologo/a. Chiameremo presto per sapere se ci sono state delle modifiche. L’ambulatorio è ubicato al IV piano del Primo Padiglione, sala ambulatoriale (di fronte la sala parto). Gli interventi  vengono effettuati in regime di DaySurgery il giovedì mattina nell’U.O. di Day Surgery"
Ospedale Floraspe Renzetti di Lanciano (CH),Via per Fossacesia 1 66034 Lanciano (Chieti),0872 7061                  0872 706310 (prenotazioni),tutti i venerdì,NO,NO,Non specificato,"Al momento (Aprile 2023) questo ospedale non pratica IVG ma stanno integrando un/a nuovo/a ginecologo/a. Richiameremo fra qualche mese per constatare se ciò è avvenuto. Quella che segue era la procedura quando si praticavano IVG: per accedere al percorso IVG andare in ospedale con impegnativa per visita ostetrica o telefonare al numero 0872 706310 chiedendo della Dott.ssa Iannantuono. In ospedale portare impegnativa del medico curante per visita ginecologica e farla timbrare al CUP dell'Ospedale. Dopo la visita, che accerta lo stato di gravidanza, parte il percorso IVG."
Stab. Ospedaliero Umberto I - Fasano (Br),Via dell'Artigianato - 72015 FASANO,080 4390232 (ginecologia)  0804390515 (consultorio) 080 4390111 (centralino),Non specificati,NO,NO,NO,Nella struttura non è possibile effettuare IVG ma è possibile prendere appuntamento per fare la certificazione e indirizzare a un'altra struttura per l'interruzione. Per l'appuntamento telefonare al reparto ginecologia.
Ospedale Potenza Di Chiaromonte,"Rione Santa Lucia, 22, 85032 Chiaromonte PZ",0973 641111  0973 642358,Non specificati,Non specificato,Non specificato,Non specificato,Si effettua il servizio IVG. Modalità di interruzione non specificata
Presidio Ospedaliero San Vincenzo Di Taormina,"Contrada Sirina, 98039 Taormina ME",0942 5791,Non specificati,NO,NO,NO,nan
Ospedale Guzzardi - Vittoria -  Ragusa,"Via Papa Giovanni XXIII, 97019 Vittoria RG",0932 999111 0932 254913 (consultorio),Non specificati,NO,NO,NO,"Presente solo il consultorio in via Forlanini, 86 - Ragusa. Tel. 0932 254913"
Ospedale E. Muscatello - Augusta (Sr),C.da Granatello - 96011 - Augusta (Siracusa),0931 989111,Non specificati,Non specificato,Non specificato,Non specificato,Si effettua il servizio IVG. Modalità di interruzione non specificata
"Presidio Ospedaliero ""Val Vibrata"" Sant'Omero","Via Alla Salara, 56, 64027 Sant'Omero TE",Ginecologia 0861 888380,Non specificati,NO,NO,Non specificato,nan
Ospedale Civile S. Liberatore di Atri,"Viale del Risorgimento, 1158, 64032 Atri TE",085 87071,Non specificati,NO,NO,Non specificato,nan
Ospedale Civile Maria SS. dello Splendore,"Via Antonio Gramsci, 64021 Giulianova TE Giulianova , TE",085 80201,Non specificati,NO,NO,Non specificato,nan
Ospedale Santissima Annunziata di Chieti,"Via dei Vestini, 66100 Chieti CH",0871 3571 / Reparto ginecologia 0871.357337 / CUP CHIETI 0872 706906,Non specificati,NO,NO,Non specificato,nan
"Presidio Ospedaliero di Ortona ""Gaetano Bernabeo""","Contrada S. Liberata, 66026 Ortona CH",085 9171,Non specificati,NO,NO,Non specificato,nan
"Ospedale ""Maria SS. Immacolata"" di Guardiagrele","Via Anello, 15, 66016 Guardiagrele CH",0871 8991,Non specificati,NO,NO,Non specificato,nan
"Ospedale ""Santissima Trinità"" di Popoli","Via Enrico Berlinguer, 118, 65026 Popoli PE",085 98 981,Non specificati,NO,NO,Non specificato,nan
Ospedale SS Annunziata di Sulmona,"Viale Giuseppe Mazzini, 100, 67039 Sulmona AQ",0864 4991,Non specificati,NO,NO,Non specificato,nan
Ospedale Civile Castel Di Sangro,"Via Sangrina, 20, 67031 Castel di Sangro AQ",0864 8992,Non specificati,NO,NO,Non specificato,nan
Ospedale S. Camillo De Lellis di Atessa,"Via Antonio Gramsci, 4, 66041 Atessa CH",0872 8641,Non specificati,NO,NO,Non specificato,nan
